,,ev21,ev22,ev23,ev24,ev25,ev26,ev27,ev28,ev29,ev30
112,h16,74.55,4.307613169,0,0,0,0,99.96848485,38.12132353,0,0
113,h17,74.55,0,0,106.0725806,0,0,0,0,0,0
114,h18,74.55,0,0,106.0725806,0,0,0,38.12132353,0,0
115,h19,21.3,0,0,30.30645161,0,0,0,0,0,0
116,h20,0,0,0,0,0,0,0,0,0,0
117,h21,0,0,0,0,0,0,0,0,0,0
118,h22,0,0,0,0,0,0,0,0,0,0
119,h23,0,0,0,0,0,0,0,0,0,0
120,h24,0,0,0,0,0,0,0,0,0,0
121,h1,0,0,0,0,0,0,0,0,0,0
122,h2,0,0,0,0,0,0,0,0,0,0
123,h3,0,0,0,0,0,0,0,0,0,0
124,h4,0,0,0,0,0,0,0,0,0,0
125,h5,0,0,0,27.75991961,0,0,0,0,0,0
126,h6,0,0,0,85.80338788,0,0,0,0,0,0
127,h7,47.16136845,0,0,0,0,0,0,0,0,0
128,h8,47.16136845,0,78.01234568,0,72.53193618,0,108.2842226,4.650784604,0,0
129,h9,47.16136845,0,52.37971781,0,72.53193618,0,15.46917466,0,0,0
130,h10,0,81.26385965,0,0,62.17023101,0,0,0,112.3212448,0
131,h11,0,29.02280702,0,0,0,0,0,0,112.3212448,97.24867491
132,h12,0,0,0,0,0,0,0,0,40.11473029,13.89266784
133,h13,0,0,0,85.80338788,0,94.07129746,0,0,0,0
134,h14,0,81.26385965,70.21111111,0,0,94.07129746,0,4.650784604,0,97.24867491
135,h15,47.16136845,29.02280702,0,27.75991961,0,80.63254068,108.2842226,0,0,13.89266784
136,h16,47.16136845,0,33.43386243,0,0,0,15.46917466,108.5183074,0,0
137,h17,47.16136845,0,0,0,0,0,0,31.0052307,0,0
138,h18,0,0,0,0,0,0,0,0,0,0
139,h19,0,0,0,0,0,0,0,108.5183074,0,0
140,h20,0,0,0,0,0,0,0,31.0052307,0,0
141,h21,0,0,0,0,0,0,0,0,0,0
142,h22,0,0,0,0,0,0,0,0,0,0
143,h23,0,0,0,0,0,0,0,0,0,0
144,h24,0,0,0,0,0,0,0,0,0,0
145,h1,0,0,0,0,0,0,0,0,0,0
146,h2,0,0,0,0,0,0,0,0,0,0
147,h3,0,0,0,0,0,0,0,0,0,0
148,h4,0,0,0,0,0,0,0,0,0,0
149,h5,0,0,0,27.75991961,0,0,0,0,0,0
150,h6,0,0,0,85.80338788,0,0,0,0,0,0
151,h7,47.16136845,0,0,0,0,0,0,0,0,0
152,h8,47.16136845,0,78.01234568,0,72.53193618,0,108.2842226,4.650784604,0,0
153,h9,47.16136845,0,52.37971781,0,72.53193618,0,15.46917466,0,0,0
154,h10,0,81.26385965,0,0,62.17023101,0,0,0,112.3212448,0
155,h11,0,29.02280702,0,0,0,0,0,0,112.3212448,97.24867491
156,h12,0,0,0,0,0,0,0,0,40.11473029,13.89266784
157,h13,0,0,0,85.80338788,0,94.07129746,0,0,0,0
158,h14,0,81.26385965,70.21111111,0,0,94.07129746,0,4.650784604,0,97.24867491
159,h15,47.16136845,29.02280702,0,27.75991961,0,80.63254068,108.2842226,0,0,13.89266784
160,h16,47.16136845,0,33.43386243,0,0,0,15.46917466,108.5183074,0,0
161,h17,47.16136845,0,0,0,0,0,0,31.0052307,0,0
162,h18,0,0,0,0,0,0,0,0,0,0
163,h19,0,0,0,0,0,0,0,108.5183074,0,0
164,h20,0,0,0,0,0,0,0,31.0052307,0,0
165,h21,0,0,0,0,0,0,0,0,0,0
166,h22,0,0,0,0,0,0,0,0,0,0
167,h23,0,0,0,0,0,0,0,0,0,0
168,h24,0,0,0,0,0,0,0,0,0,0
1,h1,0,0,0,0,0,0,0,0,0,0
2,h2,0,0,0,0,0,0,0,0,0,0
3,h3,0,0,84.92037037,0,0,0,0,0,0,0
4,h4,74.55,0,36.39444444,0,0,0,21.42181818,25.41421569,88.60750361,0
5,h5,74.55,100.5109739,0,0,0,90.63541667,0,0,8.860750361,0
6,h6,74.55,71.79355281,0,0,0,12.94791667,0,0,0,90.73150394
7,h7,74.55,0,0,0,0,0,0,0,0,7.776986052
8,h8,21.3,0,0,0,0,0,0,38.12132353,0,10.36931474
9,h9,0,0,0,0,0,0,0,38.12132353,0,32.40410855
10,h10,0,0,0,0,85.30144494,0,0,0,0,0
11,h11,0,0,0,0,85.30144494,0,0,0,0,37.58876592
12,h12,0,0,84.92037037,0,73.11552424,0,0,0,0,0
13,h13,0,0,36.39444444,0,0,0,71.40606061,25.41421569,0,66.10438144
14,h14,0,100.5109739,0,0,0.609296035,90.63541667,0,0,88.60750361,0
15,h15,74.55,71.79355281,0,0,0.243718414,12.94791667,42.84363636,0,8.860750361,6.48082171
16,h16,74.55,4.307613169,0,0,0,0,99.96848485,38.12132353,0,0
17,h17,74.55,0,0,106.0725806,0,0,0,0,0,0
18,h18,74.55,0,0,106.0725806,0,0,0,38.12132353,0,0
19,h19,21.3,0,0,30.30645161,0,0,0,0,0,0
20,h20,0,0,0,0,0,0,0,0,0,0
21,h21,0,0,0,0,0,0,0,0,0,0
22,h22,0,0,0,0,0,0,0,0,0,0
23,h23,0,0,0,0,0,0,0,0,0,0
24,h24,0,0,0,0,0,0,0,0,0,0
25,h1,0,0,0,0,0,0,0,0,0,0
26,h2,0,0,0,0,0,0,0,0,0,0
27,h3,0,0,84.92037037,0,0,0,0,0,0,0
28,h4,74.55,0,36.39444444,0,0,0,21.42181818,25.41421569,88.60750361,0
29,h5,74.55,100.5109739,0,0,0,90.63541667,0,0,8.860750361,0
30,h6,74.55,71.79355281,0,0,0,12.94791667,0,0,0,90.73150394
31,h7,74.55,0,0,0,0,0,0,0,0,7.776986052
32,h8,21.3,0,0,0,0,0,0,38.12132353,0,10.36931474
33,h9,0,0,0,0,0,0,0,38.12132353,0,32.40410855
34,h10,0,0,0,0,85.30144494,0,0,0,0,0
35,h11,0,0,0,0,85.30144494,0,0,0,0,37.58876592
36,h12,0,0,84.92037037,0,73.11552424,0,0,0,0,0
37,h13,0,0,36.39444444,0,0,0,71.40606061,25.41421569,0,66.10438144
38,h14,0,100.5109739,0,0,0.609296035,90.63541667,0,0,88.60750361,0
39,h15,74.55,71.79355281,0,0,0.243718414,12.94791667,42.84363636,0,8.860750361,6.48082171
40,h16,74.55,4.307613169,0,0,0,0,99.96848485,38.12132353,0,0
41,h17,74.55,0,0,106.0725806,0,0,0,0,0,0
42,h18,74.55,0,0,106.0725806,0,0,0,38.12132353,0,0
43,h19,21.3,0,0,30.30645161,0,0,0,0,0,0
44,h20,0,0,0,0,0,0,0,0,0,0
45,h21,0,0,0,0,0,0,0,0,0,0
46,h22,0,0,0,0,0,0,0,0,0,0
47,h23,0,0,0,0,0,0,0,0,0,0
48,h24,0,0,0,0,0,0,0,0,0,0
49,h1,0,0,0,0,0,0,0,0,0,0
50,h2,0,0,0,0,0,0,0,0,0,0
51,h3,0,0,84.92037037,0,0,0,0,0,0,0
52,h4,74.55,0,36.39444444,0,0,0,21.42181818,25.41421569,88.60750361,0
53,h5,74.55,100.5109739,0,0,0,90.63541667,0,0,8.860750361,0
54,h6,74.55,71.79355281,0,0,0,12.94791667,0,0,0,90.73150394
55,h7,74.55,0,0,0,0,0,0,0,0,7.776986052
56,h8,21.3,0,0,0,0,0,0,38.12132353,0,10.36931474
57,h9,0,0,0,0,0,0,0,38.12132353,0,32.40410855
58,h10,0,0,0,0,85.30144494,0,0,0,0,0
59,h11,0,0,0,0,85.30144494,0,0,0,0,37.58876592
60,h12,0,0,84.92037037,0,73.11552424,0,0,0,0,0
61,h13,0,0,36.39444444,0,0,0,71.40606061,25.41421569,0,66.10438144
62,h14,0,100.5109739,0,0,0.609296035,90.63541667,0,0,88.60750361,0
63,h15,74.55,71.79355281,0,0,0.243718414,12.94791667,42.84363636,0,8.860750361,6.48082171
64,h16,74.55,4.307613169,0,0,0,0,99.96848485,38.12132353,0,0
65,h17,74.55,0,0,106.0725806,0,0,0,0,0,0
66,h18,74.55,0,0,106.0725806,0,0,0,38.12132353,0,0
67,h19,21.3,0,0,30.30645161,0,0,0,0,0,0
68,h20,0,0,0,0,0,0,0,0,0,0
69,h21,0,0,0,0,0,0,0,0,0,0
70,h22,0,0,0,0,0,0,0,0,0,0
71,h23,0,0,0,0,0,0,0,0,0,0
72,h24,0,0,0,0,0,0,0,0,0,0
73,h1,0,0,0,0,0,0,0,0,0,0
74,h2,0,0,0,0,0,0,0,0,0,0
75,h3,0,0,84.92037037,0,0,0,0,0,0,0
76,h4,74.55,0,36.39444444,0,0,0,21.42181818,25.41421569,88.60750361,0
77,h5,74.55,100.5109739,0,0,0,90.63541667,0,0,8.860750361,0
78,h6,74.55,71.79355281,0,0,0,12.94791667,0,0,0,90.73150394
79,h7,74.55,0,0,0,0,0,0,0,0,7.776986052
80,h8,21.3,0,0,0,0,0,0,38.12132353,0,10.36931474
81,h9,0,0,0,0,0,0,0,38.12132353,0,32.40410855
82,h10,0,0,0,0,85.30144494,0,0,0,0,0
83,h11,0,0,0,0,85.30144494,0,0,0,0,37.58876592
84,h12,0,0,84.92037037,0,73.11552424,0,0,0,0,0
85,h13,0,0,36.39444444,0,0,0,71.40606061,25.41421569,0,66.10438144
86,h14,0,100.5109739,0,0,0.609296035,90.63541667,0,0,88.60750361,0
87,h15,74.55,71.79355281,0,0,0.243718414,12.94791667,42.84363636,0,8.860750361,6.48082171
88,h16,74.55,4.307613169,0,0,0,0,99.96848485,38.12132353,0,0
89,h17,74.55,0,0,106.0725806,0,0,0,0,0,0
90,h18,74.55,0,0,106.0725806,0,0,0,38.12132353,0,0
91,h19,21.3,0,0,30.30645161,0,0,0,0,0,0
92,h20,0,0,0,0,0,0,0,0,0,0
93,h21,0,0,0,0,0,0,0,0,0,0
94,h22,0,0,0,0,0,0,0,0,0,0
95,h23,0,0,0,0,0,0,0,0,0,0
96,h24,0,0,0,0,0,0,0,0,0,0
97,h1,0,0,0,0,0,0,0,0,0,0
98,h2,0,0,0,0,0,0,0,0,0,0
99,h3,0,0,84.92037037,0,0,0,0,0,0,0
100,h4,74.55,0,36.39444444,0,0,0,21.42181818,25.41421569,88.60750361,0
101,h5,74.55,100.5109739,0,0,0,90.63541667,0,0,8.860750361,0
102,h6,74.55,71.79355281,0,0,0,12.94791667,0,0,0,90.73150394
103,h7,74.55,0,0,0,0,0,0,0,0,7.776986052
104,h8,21.3,0,0,0,0,0,0,38.12132353,0,10.36931474
105,h9,0,0,0,0,0,0,0,38.12132353,0,32.40410855
106,h10,0,0,0,0,85.30144494,0,0,0,0,0
107,h11,0,0,0,0,85.30144494,0,0,0,0,37.58876592
108,h12,0,0,84.92037037,0,73.11552424,0,0,0,0,0
109,h13,0,0,36.39444444,0,0,0,71.40606061,25.41421569,0,66.10438144
110,h14,0,100.5109739,0,0,0.609296035,90.63541667,0,0,88.60750361,0
111,h15,74.55,71.79355281,0,0,0.243718414,12.94791667,42.84363636,0,8.860750361,6.48082171
112,h16,74.55,4.307613169,0,0,0,0,99.96848485,38.12132353,0,0
113,h17,74.55,0,0,106.0725806,0,0,0,0,0,0
114,h18,74.55,0,0,106.0725806,0,0,0,38.12132353,0,0
115,h19,21.3,0,0,30.30645161,0,0,0,0,0,0
116,h20,0,0,0,0,0,0,0,0,0,0
117,h21,0,0,0,0,0,0,0,0,0,0
118,h22,0,0,0,0,0,0,0,0,0,0
119,h23,0,0,0,0,0,0,0,0,0,0
120,h24,0,0,0,0,0,0,0,0,0,0
121,h1,0,0,0,0,0,0,0,0,0,0
122,h2,0,0,0,0,0,0,0,0,0,0
123,h3,0,0,0,0,0,0,0,0,0,0
124,h4,0,0,0,0,0,0,0,0,0,0
125,h5,0,0,0,27.75991961,0,0,0,0,0,0
126,h6,0,0,0,85.80338788,0,0,0,0,0,0
127,h7,47.16136845,0,0,0,0,0,0,0,0,0
128,h8,47.16136845,0,78.01234568,0,72.53193618,0,108.2842226,4.650784604,0,0
129,h9,47.16136845,0,52.37971781,0,72.53193618,0,15.46917466,0,0,0
130,h10,0,81.26385965,0,0,62.17023101,0,0,0,112.3212448,0
131,h11,0,29.02280702,0,0,0,0,0,0,112.3212448,97.24867491
132,h12,0,0,0,0,0,0,0,0,40.11473029,13.89266784
133,h13,0,0,0,85.80338788,0,94.07129746,0,0,0,0
134,h14,0,81.26385965,70.21111111,0,0,94.07129746,0,4.650784604,0,97.24867491
135,h15,47.16136845,29.02280702,0,27.75991961,0,80.63254068,108.2842226,0,0,13.89266784
136,h16,47.16136845,0,33.43386243,0,0,0,15.46917466,108.5183074,0,0
137,h17,47.16136845,0,0,0,0,0,0,31.0052307,0,0
138,h18,0,0,0,0,0,0,0,0,0,0
139,h19,0,0,0,0,0,0,0,108.5183074,0,0
140,h20,0,0,0,0,0,0,0,31.0052307,0,0
141,h21,0,0,0,0,0,0,0,0,0,0
142,h22,0,0,0,0,0,0,0,0,0,0
143,h23,0,0,0,0,0,0,0,0,0,0
144,h24,0,0,0,0,0,0,0,0,0,0
145,h1,0,0,0,0,0,0,0,0,0,0
146,h2,0,0,0,0,0,0,0,0,0,0
147,h3,0,0,0,0,0,0,0,0,0,0
148,h4,0,0,0,0,0,0,0,0,0,0
149,h5,0,0,0,27.75991961,0,0,0,0,0,0
150,h6,0,0,0,85.80338788,0,0,0,0,0,0
151,h7,47.16136845,0,0,0,0,0,0,0,0,0
152,h8,47.16136845,0,78.01234568,0,72.53193618,0,108.2842226,4.650784604,0,0
153,h9,47.16136845,0,52.37971781,0,72.53193618,0,15.46917466,0,0,0
154,h10,0,81.26385965,0,0,62.17023101,0,0,0,112.3212448,0
155,h11,0,29.02280702,0,0,0,0,0,0,112.3212448,97.24867491
156,h12,0,0,0,0,0,0,0,0,40.11473029,13.89266784
157,h13,0,0,0,85.80338788,0,94.07129746,0,0,0,0
158,h14,0,81.26385965,70.21111111,0,0,94.07129746,0,4.650784604,0,97.24867491
159,h15,47.16136845,29.02280702,0,27.75991961,0,80.63254068,108.2842226,0,0,13.89266784
160,h16,47.16136845,0,33.43386243,0,0,0,15.46917466,108.5183074,0,0
161,h17,47.16136845,0,0,0,0,0,0,31.0052307,0,0
162,h18,0,0,0,0,0,0,0,0,0,0
163,h19,0,0,0,0,0,0,0,108.5183074,0,0
164,h20,0,0,0,0,0,0,0,31.0052307,0,0
165,h21,0,0,0,0,0,0,0,0,0,0
166,h22,0,0,0,0,0,0,0,0,0,0
167,h23,0,0,0,0,0,0,0,0,0,0
168,h24,0,0,0,0,0,0,0,0,0,0
1,h1,0,0,0,0,0,0,0,0,0,0
2,h2,0,0,0,0,0,0,0,0,0,0
3,h3,0,0,84.92037037,0,0,0,0,0,0,0
4,h4,74.55,0,36.39444444,0,0,0,21.42181818,25.41421569,88.60750361,0
5,h5,74.55,100.5109739,0,0,0,90.63541667,0,0,8.860750361,0
6,h6,74.55,71.79355281,0,0,0,12.94791667,0,0,0,90.73150394
7,h7,74.55,0,0,0,0,0,0,0,0,7.776986052
8,h8,21.3,0,0,0,0,0,0,38.12132353,0,10.36931474
9,h9,0,0,0,0,0,0,0,38.12132353,0,32.40410855
10,h10,0,0,0,0,85.30144494,0,0,0,0,0
11,h11,0,0,0,0,85.30144494,0,0,0,0,37.58876592
12,h12,0,0,84.92037037,0,73.11552424,0,0,0,0,0
13,h13,0,0,36.39444444,0,0,0,71.40606061,25.41421569,0,66.10438144
14,h14,0,100.5109739,0,0,0.609296035,90.63541667,0,0,88.60750361,0
15,h15,74.55,71.79355281,0,0,0.243718414,12.94791667,42.84363636,0,8.860750361,6.48082171
16,h16,74.55,4.307613169,0,0,0,0,99.96848485,38.12132353,0,0
17,h17,74.55,0,0,106.0725806,0,0,0,0,0,0
18,h18,74.55,0,0,106.0725806,0,0,0,38.12132353,0,0
19,h19,21.3,0,0,30.30645161,0,0,0,0,0,0
20,h20,0,0,0,0,0,0,0,0,0,0
21,h21,0,0,0,0,0,0,0,0,0,0
22,h22,0,0,0,0,0,0,0,0,0,0
23,h23,0,0,0,0,0,0,0,0,0,0
24,h24,0,0,0,0,0,0,0,0,0,0
25,h1,0,0,0,0,0,0,0,0,0,0
26,h2,0,0,0,0,0,0,0,0,0,0
27,h3,0,0,84.92037037,0,0,0,0,0,0,0
28,h4,74.55,0,36.39444444,0,0,0,21.42181818,25.41421569,88.60750361,0
29,h5,74.55,100.5109739,0,0,0,90.63541667,0,0,8.860750361,0
30,h6,74.55,71.79355281,0,0,0,12.94791667,0,0,0,90.73150394
31,h7,74.55,0,0,0,0,0,0,0,0,7.776986052
32,h8,21.3,0,0,0,0,0,0,38.12132353,0,10.36931474
33,h9,0,0,0,0,0,0,0,38.12132353,0,32.40410855
34,h10,0,0,0,0,85.30144494,0,0,0,0,0
35,h11,0,0,0,0,85.30144494,0,0,0,0,37.58876592
36,h12,0,0,84.92037037,0,73.11552424,0,0,0,0,0
37,h13,0,0,36.39444444,0,0,0,71.40606061,25.41421569,0,66.10438144
38,h14,0,100.5109739,0,0,0.609296035,90.63541667,0,0,88.60750361,0
39,h15,74.55,71.79355281,0,0,0.243718414,12.94791667,42.84363636,0,8.860750361,6.48082171
40,h16,74.55,4.307613169,0,0,0,0,99.96848485,38.12132353,0,0
41,h17,74.55,0,0,106.0725806,0,0,0,0,0,0
42,h18,74.55,0,0,106.0725806,0,0,0,38.12132353,0,0
43,h19,21.3,0,0,30.30645161,0,0,0,0,0,0
44,h20,0,0,0,0,0,0,0,0,0,0
45,h21,0,0,0,0,0,0,0,0,0,0
46,h22,0,0,0,0,0,0,0,0,0,0
47,h23,0,0,0,0,0,0,0,0,0,0
48,h24,0,0,0,0,0,0,0,0,0,0
49,h1,0,0,0,0,0,0,0,0,0,0
50,h2,0,0,0,0,0,0,0,0,0,0
51,h3,0,0,84.92037037,0,0,0,0,0,0,0
52,h4,74.55,0,36.39444444,0,0,0,21.42181818,25.41421569,88.60750361,0
53,h5,74.55,100.5109739,0,0,0,90.63541667,0,0,8.860750361,0
54,h6,74.55,71.79355281,0,0,0,12.94791667,0,0,0,90.73150394
55,h7,74.55,0,0,0,0,0,0,0,0,7.776986052
56,h8,21.3,0,0,0,0,0,0,38.12132353,0,10.36931474
57,h9,0,0,0,0,0,0,0,38.12132353,0,32.40410855
58,h10,0,0,0,0,85.30144494,0,0,0,0,0
59,h11,0,0,0,0,85.30144494,0,0,0,0,37.58876592
60,h12,0,0,84.92037037,0,73.11552424,0,0,0,0,0
61,h13,0,0,36.39444444,0,0,0,71.40606061,25.41421569,0,66.10438144
62,h14,0,100.5109739,0,0,0.609296035,90.63541667,0,0,88.60750361,0
63,h15,74.55,71.79355281,0,0,0.243718414,12.94791667,42.84363636,0,8.860750361,6.48082171
64,h16,74.55,4.307613169,0,0,0,0,99.96848485,38.12132353,0,0
65,h17,74.55,0,0,106.0725806,0,0,0,0,0,0
66,h18,74.55,0,0,106.0725806,0,0,0,38.12132353,0,0
67,h19,21.3,0,0,30.30645161,0,0,0,0,0,0
68,h20,0,0,0,0,0,0,0,0,0,0
69,h21,0,0,0,0,0,0,0,0,0,0
70,h22,0,0,0,0,0,0,0,0,0,0
71,h23,0,0,0,0,0,0,0,0,0,0
72,h24,0,0,0,0,0,0,0,0,0,0
73,h1,0,0,0,0,0,0,0,0,0,0
74,h2,0,0,0,0,0,0,0,0,0,0
75,h3,0,0,84.92037037,0,0,0,0,0,0,0
76,h4,74.55,0,36.39444444,0,0,0,21.42181818,25.41421569,88.60750361,0
77,h5,74.55,100.5109739,0,0,0,90.63541667,0,0,8.860750361,0
78,h6,74.55,71.79355281,0,0,0,12.94791667,0,0,0,90.73150394
79,h7,74.55,0,0,0,0,0,0,0,0,7.776986052
80,h8,21.3,0,0,0,0,0,0,38.12132353,0,10.36931474
81,h9,0,0,0,0,0,0,0,38.12132353,0,32.40410855
82,h10,0,0,0,0,85.30144494,0,0,0,0,0
83,h11,0,0,0,0,85.30144494,0,0,0,0,37.58876592
84,h12,0,0,84.92037037,0,73.11552424,0,0,0,0,0
85,h13,0,0,36.39444444,0,0,0,71.40606061,25.41421569,0,66.10438144
86,h14,0,100.5109739,0,0,0.609296035,90.63541667,0,0,88.60750361,0
87,h15,74.55,71.79355281,0,0,0.243718414,12.94791667,42.84363636,0,8.860750361,6.48082171
88,h16,74.55,4.307613169,0,0,0,0,99.96848485,38.12132353,0,0
89,h17,74.55,0,0,106.0725806,0,0,0,0,0,0
90,h18,74.55,0,0,106.0725806,0,0,0,38.12132353,0,0
91,h19,21.3,0,0,30.30645161,0,0,0,0,0,0
92,h20,0,0,0,0,0,0,0,0,0,0
93,h21,0,0,0,0,0,0,0,0,0,0
94,h22,0,0,0,0,0,0,0,0,0,0
95,h23,0,0,0,0,0,0,0,0,0,0
96,h24,0,0,0,0,0,0,0,0,0,0
97,h1,0,0,0,0,0,0,0,0,0,0
98,h2,0,0,0,0,0,0,0,0,0,0
99,h3,0,0,84.92037037,0,0,0,0,0,0,0
100,h4,74.55,0,36.39444444,0,0,0,21.42181818,25.41421569,88.60750361,0
101,h5,74.55,100.5109739,0,0,0,90.63541667,0,0,8.860750361,0
102,h6,74.55,71.79355281,0,0,0,12.94791667,0,0,0,90.73150394
103,h7,74.55,0,0,0,0,0,0,0,0,7.776986052
104,h8,21.3,0,0,0,0,0,0,38.12132353,0,10.36931474
105,h9,0,0,0,0,0,0,0,38.12132353,0,32.40410855
106,h10,0,0,0,0,85.30144494,0,0,0,0,0
107,h11,0,0,0,0,85.30144494,0,0,0,0,37.58876592
108,h12,0,0,84.92037037,0,73.11552424,0,0,0,0,0
109,h13,0,0,36.39444444,0,0,0,71.40606061,25.41421569,0,66.10438144
110,h14,0,100.5109739,0,0,0.609296035,90.63541667,0,0,88.60750361,0
111,h15,74.55,71.79355281,0,0,0.243718414,12.94791667,42.84363636,0,8.860750361,6.48082171
112,h16,74.55,4.307613169,0,0,0,0,99.96848485,38.12132353,0,0
113,h17,74.55,0,0,106.0725806,0,0,0,0,0,0
114,h18,74.55,0,0,106.0725806,0,0,0,38.12132353,0,0
115,h19,21.3,0,0,30.30645161,0,0,0,0,0,0
116,h20,0,0,0,0,0,0,0,0,0,0
117,h21,0,0,0,0,0,0,0,0,0,0
118,h22,0,0,0,0,0,0,0,0,0,0
119,h23,0,0,0,0,0,0,0,0,0,0
120,h24,0,0,0,0,0,0,0,0,0,0
121,h1,0,0,0,0,0,0,0,0,0,0
122,h2,0,0,0,0,0,0,0,0,0,0
123,h3,0,0,0,0,0,0,0,0,0,0
124,h4,0,0,0,0,0,0,0,0,0,0
125,h5,0,0,0,27.75991961,0,0,0,0,0,0
126,h6,0,0,0,85.80338788,0,0,0,0,0,0
127,h7,47.16136845,0,0,0,0,0,0,0,0,0
128,h8,47.16136845,0,78.01234568,0,72.53193618,0,108.2842226,4.650784604,0,0
129,h9,47.16136845,0,52.37971781,0,72.53193618,0,15.46917466,0,0,0
130,h10,0,81.26385965,0,0,62.17023101,0,0,0,112.3212448,0
131,h11,0,29.02280702,0,0,0,0,0,0,112.3212448,97.24867491
132,h12,0,0,0,0,0,0,0,0,40.11473029,13.89266784
133,h13,0,0,0,85.80338788,0,94.07129746,0,0,0,0
134,h14,0,81.26385965,70.21111111,0,0,94.07129746,0,4.650784604,0,97.24867491
135,h15,47.16136845,29.02280702,0,27.75991961,0,80.63254068,108.2842226,0,0,13.89266784
136,h16,47.16136845,0,33.43386243,0,0,0,15.46917466,108.5183074,0,0
137,h17,47.16136845,0,0,0,0,0,0,31.0052307,0,0
138,h18,0,0,0,0,0,0,0,0,0,0
139,h19,0,0,0,0,0,0,0,108.5183074,0,0
140,h20,0,0,0,0,0,0,0,31.0052307,0,0
141,h21,0,0,0,0,0,0,0,0,0,0
142,h22,0,0,0,0,0,0,0,0,0,0
143,h23,0,0,0,0,0,0,0,0,0,0
144,h24,0,0,0,0,0,0,0,0,0,0
145,h1,0,0,0,0,0,0,0,0,0,0
146,h2,0,0,0,0,0,0,0,0,0,0
147,h3,0,0,0,0,0,0,0,0,0,0
148,h4,0,0,0,0,0,0,0,0,0,0
149,h5,0,0,0,27.75991961,0,0,0,0,0,0
150,h6,0,0,0,85.80338788,0,0,0,0,0,0
151,h7,47.16136845,0,0,0,0,0,0,0,0,0
152,h8,47.16136845,0,78.01234568,0,72.53193618,0,108.2842226,4.650784604,0,0
153,h9,47.16136845,0,52.37971781,0,72.53193618,0,15.46917466,0,0,0
154,h10,0,81.26385965,0,0,62.17023101,0,0,0,112.3212448,0
155,h11,0,29.02280702,0,0,0,0,0,0,112.3212448,97.24867491
156,h12,0,0,0,0,0,0,0,0,40.11473029,13.89266784
157,h13,0,0,0,85.80338788,0,94.07129746,0,0,0,0
158,h14,0,81.26385965,70.21111111,0,0,94.07129746,0,4.650784604,0,97.24867491
159,h15,47.16136845,29.02280702,0,27.75991961,0,80.63254068,108.2842226,0,0,13.89266784
160,h16,47.16136845,0,33.43386243,0,0,0,15.46917466,108.5183074,0,0
161,h17,47.16136845,0,0,0,0,0,0,31.0052307,0,0
162,h18,0,0,0,0,0,0,0,0,0,0
163,h19,0,0,0,0,0,0,0,108.5183074,0,0
164,h20,0,0,0,0,0,0,0,31.0052307,0,0
165,h21,0,0,0,0,0,0,0,0,0,0
166,h22,0,0,0,0,0,0,0,0,0,0
167,h23,0,0,0,0,0,0,0,0,0,0
168,h24,0,0,0,0,0,0,0,0,0,0
1,h1,0,0,0,0,0,0,0,0,0,0
2,h2,0,0,0,0,0,0,0,0,0,0
3,h3,0,0,84.92037037,0,0,0,0,0,0,0
4,h4,74.55,0,36.39444444,0,0,0,21.42181818,25.41421569,88.60750361,0
5,h5,74.55,100.5109739,0,0,0,90.63541667,0,0,8.860750361,0
6,h6,74.55,71.79355281,0,0,0,12.94791667,0,0,0,90.73150394
7,h7,74.55,0,0,0,0,0,0,0,0,7.776986052
8,h8,21.3,0,0,0,0,0,0,38.12132353,0,10.36931474
9,h9,0,0,0,0,0,0,0,38.12132353,0,32.40410855
10,h10,0,0,0,0,85.30144494,0,0,0,0,0
11,h11,0,0,0,0,85.30144494,0,0,0,0,37.58876592
12,h12,0,0,84.92037037,0,73.11552424,0,0,0,0,0
13,h13,0,0,36.39444444,0,0,0,71.40606061,25.41421569,0,66.10438144
14,h14,0,100.5109739,0,0,0.609296035,90.63541667,0,0,88.60750361,0
15,h15,74.55,71.79355281,0,0,0.243718414,12.94791667,42.84363636,0,8.860750361,6.48082171
16,h16,74.55,4.307613169,0,0,0,0,99.96848485,38.12132353,0,0
17,h17,74.55,0,0,106.0725806,0,0,0,0,0,0
18,h18,74.55,0,0,106.0725806,0,0,0,38.12132353,0,0
19,h19,21.3,0,0,30.30645161,0,0,0,0,0,0
20,h20,0,0,0,0,0,0,0,0,0,0
21,h21,0,0,0,0,0,0,0,0,0,0
22,h22,0,0,0,0,0,0,0,0,0,0
23,h23,0,0,0,0,0,0,0,0,0,0
24,h24,0,0,0,0,0,0,0,0,0,0
25,h1,0,0,0,0,0,0,0,0,0,0
26,h2,0,0,0,0,0,0,0,0,0,0
27,h3,0,0,84.92037037,0,0,0,0,0,0,0
28,h4,74.55,0,36.39444444,0,0,0,21.42181818,25.41421569,88.60750361,0
29,h5,74.55,100.5109739,0,0,0,90.63541667,0,0,8.860750361,0
30,h6,74.55,71.79355281,0,0,0,12.94791667,0,0,0,90.73150394
31,h7,74.55,0,0,0,0,0,0,0,0,7.776986052
32,h8,21.3,0,0,0,0,0,0,38.12132353,0,10.36931474
33,h9,0,0,0,0,0,0,0,38.12132353,0,32.40410855
34,h10,0,0,0,0,85.30144494,0,0,0,0,0
35,h11,0,0,0,0,85.30144494,0,0,0,0,37.58876592
36,h12,0,0,84.92037037,0,73.11552424,0,0,0,0,0
37,h13,0,0,36.39444444,0,0,0,71.40606061,25.41421569,0,66.10438144
